parent_asin,title,avg_rating,review_count,camera_sentiment,camera_mentions,battery_sentiment,battery_mentions,display_sentiment,display_mentions,performance_sentiment,performance_mentions,build_sentiment,build_mentions,storage_sentiment,storage_mentions,price,rating_number,camera_sentiment_roberta,battery_sentiment_roberta,display_sentiment_roberta,performance_sentiment_roberta,build_sentiment_roberta,storage_sentiment_roberta,camera_mentions_roberta,battery_mentions_roberta,display_mentions_roberta,performance_mentions_roberta,build_mentions_roberta,storage_mentions_roberta
B0BFYH2V72,Phonak Charger Lumity Life,2.4,5,0.1375,1,0.193961648,5,0,0,0.404761905,1,0,0,0,0,175,7,-0.147361582,0.033528351,0,0,0.096618727,0,1,5,0,0,1,0
B01MXMASHF,Huawei Honor 8 Dual Camera Unlocked Phone 64GB - Sapphire Blue - GSM - US Warranty,4.273559012,1093,0.356897833,340,0.28407223,306,0.286779396,229,0.334958624,397,0.304389564,206,0.29977866,92,299.99,1381,0.207863754,0.111504556,0.100665336,0.250197901,0.165952456,0.042983253,340,315,254,395,291,92
B074GYBXZK,"HTC One M9+ Plus 32GB Gold, 5.2"", GSM Unlocked International Model, No Warranty",3.974683544,79,0.243477824,13,0.176012293,12,0.284145223,8,0.312946065,10,0.396470569,7,0.122542041,1,449.84,159,0.056374314,-0.028967388,0.057854199,0.083278385,0.073832022,0.001266318,13,12,8,10,10,1
B0082DP778,"LG Optimus Elite (Virgin Mobile), Black, VM696 Model",3.68488746,311,0.214961472,60,0.130554253,111,0.166700421,68,0.204486996,66,0.214408625,37,0.187676579,39,109.99,389,0.088994864,-0.030509605,0.053412803,0.025522866,0.069461952,0.033138183,60,112,71,78,56,39
B09D4ZZLCX,"weBoost Drive Sleek OTR - Cell Phone Signal Booster for Trucks | Boosts 5G & 4G LTE for All U.S. Carriers- Verizon, AT&T, T-Mobile | Magnetic Roof Antenna | Made in USA | FCC Approved (model 470235)",3.361616162,495,0.116554624,9,0.119071153,50,0.058896739,6,0.143718837,42,0.162165306,46,0.163382527,2,279.99,1746,0.004796855,-0.006899543,-0.000124926,0.001865074,0.000839402,0.002133063,9,46,11,40,47,2
B0B2C3PMMK,"Sharper Image SpaStudio Vanity 8-inch Mirror with Built-in Qi Wireless Phone Charger, 5X and 10X Magnification",4.342857143,70,0.252584246,4,0.310207855,13,0,0,0.33452381,1,0.309858668,13,0.17306615,2,139.99,34,0.01176656,0.013922763,0.063037317,0.013293433,0.064863092,0.01836911,4,14,8,1,10,2
B0B8PDLMMS,"SAMSUNG Galaxy S21 Ultra 5G Factory Unlocked Android Cell Phone 256GB US Version Smartphone Pro-Grade Camera 8K Video 108MP High Res, Phantom Black",3.706748466,815,0.298842582,288,0.243073693,258,0.231991973,157,0.267926446,172,0.283605665,93,0.211695568,87,1049.97,5672,0.175560102,0.049581285,0.039643617,0.102852571,0.048366438,0.01553356,286,268,170,169,117,88
B01BZ18HI4,Yamuna Body Rolling Save Your Back From Pain Kit,5,3,0,0,0,0,0,0,0,0,0,0,0,0,149.95,9,0,0,0,0,0,0,0,0,0,0,0,0
B0C72G2LDY,AT&T Signal Booster AT&T Cell Phone Signal Booster T Mobile AT&T Cell Booster 5G 4G LTE Band12/17 AT&T Cell Signal Booster AT&T Cell Phone Booster for Home AT&T Booster AT&T Extender Boost Voice/Data,4.49382716,81,0.193060215,6,0.120677808,13,0.163118069,13,0.167280072,17,0.212110463,21,0.111538462,1,125,144,0.002250909,0.037174255,0.058994659,0.095367834,0.026029291,0.00030174,5,13,10,16,13,1
B0BTCN5QXV,"SAMSUNG Galaxy A03s Cell Phone, Factory Unlocked Android Smartphone, 32GB, Triple Lens Camera, Infinity Display Screen, Long Battery Life, Expandable Storage, US Version, Blue",3.431351351,925,0.258140892,222,0.192607885,317,0.214589541,187,0.209857776,189,0.24139121,81,0.208425307,78,159.99,331,0.087164226,0.042672913,0.055194655,0.012466511,0.039370618,0.034265564,222,334,208,219,107,79
